ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Gradient Boosting,5,helena,0.6984999999999999,474.35175000000004
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Nearest Neighbors,5,helena,0.7301500000000001,1374.976
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Quadratic Discriminant,5,helena,0.70055,147.72912499999998
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Random Forest (10 estimators),5,helena,0.71,139.00187499999998
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron,4,helena,0.7181500000000001,111.999875
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-BernoulliNB,5,helena,0.72275,111.87537499999999
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Extra Trees,5,helena,0.6806,412.30875000000003
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Gradient Boosting,5,helena,0.6903999999999999,478.49675
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Linear Discriminant,5,helena,0.6905,113.62850000000002
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Nearest Neighbors,5,helena,0.722,1382.22975
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Quadratic Discriminant,5,helena,0.69255,151.6235
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Random Forest (10 estimators),5,helena,0.6992,145.278375
Decision Tree-Extra Tree-Logistic-Nearest Neighbors,4,helena,0.7752,1457.876
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Extra Trees,5,helena,0.7189000000000001,1667.6007500000003
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Gradient Boosting,5,helena,0.7313999999999999,1760.335125
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Random Forest (10 estimators),5,helena,0.7404,1450.621375
Decision Tree-Extra Tree-Logistic-Passive Aggressive,4,helena,0.7890999999999999,109.64925
Decision Tree-Extra Tree-Logistic-Passive Aggressive-BernoulliNB,5,helena,0.7733,104.259
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Extra Trees,5,helena,0.71835,399.990625
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Gradient Boosting,5,helena,0.7364499999999999,458.38125
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Linear Discriminant,5,helena,0.7345499999999999,103.625875
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Multi-layer Perceptron,5,helena,0.72455,116.12525000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Nearest Neighbors,5,helena,0.77645,1376.4882499999999
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Perceptron,5,helena,0.78575,103.389875
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Quadratic Discriminant,5,helena,0.7419500000000001,152.62662500000002
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Random Forest (10 estimators),5,helena,0.7435499999999999,135.238
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Ridge,5,helena,0.75515,100.86937499999999
Decision Tree-Extra Tree-Logistic-Passive Aggressive-SGD,5,helena,0.78125,99.002625
Decision Tree-Extra Tree-Logistic-Perceptron,4,helena,0.77895,105.499375
Decision Tree-Extra Tree-Logistic-Perceptron-BernoulliNB,5,helena,0.7689,104.375125
Decision Tree-Extra Tree-Logistic-Perceptron-Extra Trees,5,helena,0.7171000000000001,405.722
Decision Tree-Extra Tree-Logistic-Perceptron-Gradient Boosting,5,helena,0.73265,465.32750000000004
Decision Tree-Extra Tree-Logistic-Perceptron-Linear Discriminant,5,helena,0.7299,100.76187499999999
Decision Tree-Extra Tree-Logistic-Perceptron-Multi-layer Perceptron,5,helena,0.72125,106.34750000000001
Decision Tree-Extra Tree-Logistic-Perceptron-Nearest Neighbors,5,helena,0.7740499999999999,1375.458875
Decision Tree-Extra Tree-Logistic-Perceptron-Quadratic Discriminant,5,helena,0.7388,141.87425
Decision Tree-Extra Tree-Logistic-Perceptron-Random Forest (10 estimators),5,helena,0.7413,135.77675
Decision Tree-Extra Tree-Logistic-Perceptron-Ridge,5,helena,0.753,101.55300000000001
Decision Tree-Extra Tree-Logistic-Perceptron-SGD,5,helena,0.7757500000000002,104.38475
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant,4,helena,0.7356,161.2565
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-BernoulliNB,5,helena,0.7360499999999999,142.35975000000002
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Extra Trees,5,helena,0.6916,442.03049999999996
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Gradient Boosting,5,helena,0.7018,509.104125
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Nearest Neighbors,5,helena,0.73805,1428.7073750000002
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Random Forest (10 estimators),5,helena,0.7140500000000001,178.077125
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators),4,helena,0.7409,138.870875
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.70885,493.87487500000003
Decision Tree-Extra Tree-Logistic-Ridge,4,helena,0.7502,107.626375
Decision Tree-Extra Tree-Logistic-Ridge-BernoulliNB,5,helena,0.751,105.81337500000001
Decision Tree-Extra Tree-Logistic-Ridge-Extra Trees,5,helena,0.70775,417.4401250000001
Decision Tree-Extra Tree-Logistic-Ridge-Gradient Boosting,5,helena,0.7176,475.66612499999997
Decision Tree-Extra Tree-Logistic-Ridge-Linear Discriminant,5,helena,0.7198999999999999,102.26225
Decision Tree-Extra Tree-Logistic-Ridge-Multi-layer Perceptron,5,helena,0.7114,113.747
Decision Tree-Extra Tree-Logistic-Ridge-Nearest Neighbors,5,helena,0.74885,1425.0407500000001
Decision Tree-Extra Tree-Logistic-Ridge-Quadratic Discriminant,5,helena,0.7219500000000001,145.53875000000002
Decision Tree-Extra Tree-Logistic-Ridge-Random Forest (10 estimators),5,helena,0.7267000000000001,133.205125
Decision Tree-Extra Tree-Logistic-Ridge-SGD,5,helena,0.7502,101.832
Decision Tree-Extra Tree-Logistic-SGD,4,helena,0.7763499999999999,111.999375
Decision Tree-Extra Tree-Logistic-SGD-BernoulliNB,5,helena,0.7696500000000001,102.87325000000001
Decision Tree-Extra Tree-Logistic-SGD-Extra Trees,5,helena,0.7153499999999999,411.61375000000004
Decision Tree-Extra Tree-Logistic-SGD-Gradient Boosting,5,helena,0.7295499999999999,468.479625
Decision Tree-Extra Tree-Logistic-SGD-Linear Discriminant,5,helena,0.7295,106.6515
Decision Tree-Extra Tree-Logistic-SGD-Multi-layer Perceptron,5,helena,0.7214,110.902375
Decision Tree-Extra Tree-Logistic-SGD-Nearest Neighbors,5,helena,0.7690499999999999,1384.861375
Decision Tree-Extra Tree-Logistic-SGD-Quadratic Discriminant,5,helena,0.7368999999999999,147.384875
Decision Tree-Extra Tree-Logistic-SGD-Random Forest (10 estimators),5,helena,0.741,140.071
Decision Tree-Extra Tree-Multi-layer Perceptron,3,helena,0.7424499999999999,109.86274999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB,4,helena,0.7347500000000001,110.851375
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,helena,0.6853,419.11175
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,helena,0.6988,482.06375
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,helena,0.7351000000000001,1407.4366249999998
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,helena,0.70705,141.72675
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees,4,helena,0.6841499999999999,423.61587499999996
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,helena,0.6703,752.464625
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,helena,0.67565,435.922625
Decision Tree-Extra Tree-Multi-layer Perceptron-Gradient Boosting,4,helena,0.6998,488.08074999999997
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant,4,helena,0.6960500000000001,105.84637500000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,helena,0.6951999999999999,109.499375
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,helena,0.6696,420.360375
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,helena,0.67765,498.690875
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,helena,0.6970999999999999,1407.9326250000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,helena,0.67955,153.84262500000003
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,helena,0.68245,154.77325
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors,4,helena,0.7439,1425.5445
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,helena,0.68815,1695.4590000000003
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,helena,0.7004,1749.49575
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,helena,0.71245,1439.9399999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant,4,helena,0.7065,149.66675
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,helena,0.70185,160.394875
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,helena,0.6697,469.59287500000005
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,helena,0.6798,528.04475
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,helena,0.70805,1453.2787500000004
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,helena,0.6883500000000001,192.24474999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators),4,helena,0.71035,141.192125
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.6848500000000001,505.01875
Decision Tree-Extra Tree-Nearest Neighbors,3,helena,0.809,1514.7978750000002
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees,4,helena,0.7387999999999999,1750.1372499999998
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees-Gradient Boosting,5,helena,0.6980500000000001,2006.0386250000001
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,helena,0.7082999999999999,1708.4671250000001
Decision Tree-Extra Tree-Nearest Neighbors-Gradient Boosting,4,helena,0.7557999999999999,1784.8913750000004
Decision Tree-Extra Tree-Nearest Neighbors-Random Forest (10 estimators),4,helena,0.76085,1457.5171249999999
Decision Tree-Extra Tree-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.7227000000000001,1729.2888750000002
Decision Tree-Extra Tree-Passive Aggressive,3,helena,0.83835,99.124625
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB,4,helena,0.8092999999999999,100.06675
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Extra Trees,5,helena,0.73175,470.954125
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Gradient Boosting,5,helena,0.7499500000000001,481.210625
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors,5,helena,0.789,1452.42575
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Random Forest (10 estimators),5,helena,0.75545,147.748625
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees,4,helena,0.7458,468.99575
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees-Gradient Boosting,5,helena,0.6993999999999999,785.8975
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees-Random Forest (10 estimators),5,helena,0.7086000000000001,430.421875
Decision Tree-Extra Tree-Passive Aggressive-Gradient Boosting,4,helena,0.7671,486.77462500000007
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant,4,helena,0.7625,103.75399999999999
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-BernoulliNB,5,helena,0.74805,103.97825
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Extra Trees,5,helena,0.6982499999999999,412.78175000000005
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Gradient Boosting,5,helena,0.7146000000000001,474.436125
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors,5,helena,0.7537,1422.376125
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant,5,helena,0.7181,152.9175
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Random Forest (10 estimators),5,helena,0.72295,134.118875
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron,4,helena,0.7537,110.37512500000001
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB,5,helena,0.7377999999999999,109.8395
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Extra Trees,5,helena,0.68695,414.31612499999994
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Gradient Boosting,5,helena,0.70405,483.19925
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant,5,helena,0.70165,120.359625
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors,5,helena,0.7444500000000001,1382.40575
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant,5,helena,0.71105,158.23112500000002
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Random Forest (10 estimators),5,helena,0.7132,150.143125
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors,4,helena,0.8103,1470.760125
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors-Extra Trees,5,helena,0.7381000000000001,1721.537
