ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,airlines,0.36899999999999994,225.9393
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,airlines,0.39864,218.6828
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,airlines,0.38932,2350.4326
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,airlines,0.37848000000000004,225.30829999999997
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators),4,airlines,0.36828,137.7014
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.36079999999999995,151.505
Decision Tree-Extra Tree-Logistic,3,airlines,0.38148,109.32820000000001
Decision Tree-Extra Tree-Logistic-BernoulliNB,4,airlines,0.36244,124.19879999999998
Decision Tree-Extra Tree-Logistic-BernoulliNB-Extra Trees,5,airlines,0.37044,359.9358
Decision Tree-Extra Tree-Logistic-BernoulliNB-Gradient Boosting,5,airlines,0.3558,147.42090000000002
Decision Tree-Extra Tree-Logistic-BernoulliNB-MultinomialNB,5,airlines,0.367,142.9417
Decision Tree-Extra Tree-Logistic-BernoulliNB-Nearest Neighbors,5,airlines,0.36860000000000004,2425.0719
Decision Tree-Extra Tree-Logistic-BernoulliNB-Random Forest (10 estimators),5,airlines,0.36568000000000006,163.13889999999998
Decision Tree-Extra Tree-Logistic-Extra Trees,4,airlines,0.37384000000000006,330.4378
Decision Tree-Extra Tree-Logistic-Extra Trees-Gradient Boosting,5,airlines,0.36627999999999994,333.4112
Decision Tree-Extra Tree-Logistic-Extra Trees-Random Forest (10 estimators),5,airlines,0.36948,354.2085
Decision Tree-Extra Tree-Logistic-Gradient Boosting,4,airlines,0.36088,127.016
Decision Tree-Extra Tree-Logistic-Linear Discriminant,4,airlines,0.35947999999999997,108.92049999999999
Decision Tree-Extra Tree-Logistic-Linear Discriminant-BernoulliNB,5,airlines,0.35608,132.6834
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Extra Trees,5,airlines,0.36712,344.2257
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Gradient Boosting,5,airlines,0.35316000000000003,137.98919999999998
Decision Tree-Extra Tree-Logistic-Linear Discriminant-MultinomialNB,5,airlines,0.3628,113.3952
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Nearest Neighbors,5,airlines,0.36476,2249.807
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Quadratic Discriminant,5,airlines,0.37235999999999997,203.8186
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Random Forest (10 estimators),5,airlines,0.36180000000000007,146.6053
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron,4,airlines,0.36928000000000005,119.70010000000002
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-BernoulliNB,5,airlines,0.36604000000000003,144.6646
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Extra Trees,5,airlines,0.37576,347.65310000000005
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Gradient Boosting,5,airlines,0.36128,139.01080000000002
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Linear Discriminant,5,airlines,0.36212,123.47569999999999
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-MultinomialNB,5,airlines,0.37859999999999994,131.8377
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Nearest Neighbors,5,airlines,0.37535999999999997,2305.4273999999996
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Quadratic Discriminant,5,airlines,0.38784,221.2856
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Random Forest (10 estimators),5,airlines,0.3706,146.8859
Decision Tree-Extra Tree-Logistic-MultinomialNB,4,airlines,0.37212,112.10349999999998
Decision Tree-Extra Tree-Logistic-MultinomialNB-Extra Trees,5,airlines,0.37848,324.62530000000004
Decision Tree-Extra Tree-Logistic-MultinomialNB-Gradient Boosting,5,airlines,0.36147999999999997,132.3681
Decision Tree-Extra Tree-Logistic-MultinomialNB-Nearest Neighbors,5,airlines,0.38275999999999993,2233.2643000000003
Decision Tree-Extra Tree-Logistic-MultinomialNB-Random Forest (10 estimators),5,airlines,0.37316000000000005,137.8434
Decision Tree-Extra Tree-Logistic-Nearest Neighbors,4,airlines,0.37892,2185.2762000000002
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Extra Trees,5,airlines,0.37852,2522.9785
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Gradient Boosting,5,airlines,0.36507999999999996,2323.2143
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Random Forest (10 estimators),5,airlines,0.37260000000000004,2355.1003
Decision Tree-Extra Tree-Logistic-Passive Aggressive,4,airlines,0.38632,113.41280000000002
Decision Tree-Extra Tree-Logistic-Passive Aggressive-BernoulliNB,5,airlines,0.36872000000000005,129.9102
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Extra Trees,5,airlines,0.37796,339.2174
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Gradient Boosting,5,airlines,0.36524,130.6507
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Linear Discriminant,5,airlines,0.3652,118.4387
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Multi-layer Perceptron,5,airlines,0.3759200000000001,123.1614
Decision Tree-Extra Tree-Logistic-Passive Aggressive-MultinomialNB,5,airlines,0.3828000000000001,120.25309999999999
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Nearest Neighbors,5,airlines,0.3838,2277.5462999999995
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Perceptron,5,airlines,0.39352,117.33160000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Quadratic Discriminant,5,airlines,0.39,210.5123
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Random Forest (10 estimators),5,airlines,0.37276000000000004,135.5834
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Ridge,5,airlines,0.36492,121.85229999999999
Decision Tree-Extra Tree-Logistic-Passive Aggressive-SGD,5,airlines,0.38839999999999997,123.71190000000001
Decision Tree-Extra Tree-Logistic-Perceptron,4,airlines,0.38248000000000004,107.90700000000001
Decision Tree-Extra Tree-Logistic-Perceptron-BernoulliNB,5,airlines,0.37268,138.8026
Decision Tree-Extra Tree-Logistic-Perceptron-Extra Trees,5,airlines,0.38216,348.8362
Decision Tree-Extra Tree-Logistic-Perceptron-Gradient Boosting,5,airlines,0.36776,143.6071
Decision Tree-Extra Tree-Logistic-Perceptron-Linear Discriminant,5,airlines,0.36968,122.30220000000001
Decision Tree-Extra Tree-Logistic-Perceptron-Multi-layer Perceptron,5,airlines,0.38508000000000003,119.5225
Decision Tree-Extra Tree-Logistic-Perceptron-MultinomialNB,5,airlines,0.39176,119.75410000000002
