ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,MiniBooNE,0.09024000000000001,1775.7105
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,MiniBooNE,0.0844,111.0808
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees,4,MiniBooNE,0.08492000000000002,206.1319
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,MiniBooNE,0.07400000000000001,196.88389999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.07576000000000001,201.1631
Decision Tree-Extra Tree-Multi-layer Perceptron-Gradient Boosting,4,MiniBooNE,0.08292000000000001,115.37780000000002
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant,4,MiniBooNE,0.09068,103.72529999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,MiniBooNE,0.08948,103.2855
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,MiniBooNE,0.07860000000000002,201.33409999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,MiniBooNE,0.07848000000000001,124.35729999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,MiniBooNE,0.08392,1745.6718
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,MiniBooNE,0.08431999999999998,105.6457
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,MiniBooNE,0.07919999999999999,107.8492
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors,4,MiniBooNE,0.0962,1703.0957999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,MiniBooNE,0.07891999999999999,1823.5766999999996
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,MiniBooNE,0.07776000000000001,1759.1
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,MiniBooNE,0.08192,1733.7685000000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant,4,MiniBooNE,0.08743999999999999,102.8057
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,MiniBooNE,0.09268,104.3993
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,MiniBooNE,0.07783999999999999,226.5638
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,MiniBooNE,0.07816,123.87920000000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,MiniBooNE,0.0868,1746.1248
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,MiniBooNE,0.07964,127.0684
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators),4,MiniBooNE,0.08811999999999999,123.79469999999999
