ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Logistic-BernoulliNB-Random Forest (10 estimators),5,Australian,0.13768115942028986,5.2997
Decision Tree-Extra Tree-Logistic-Extra Trees,4,Australian,0.15652173913043477,17.0996
Decision Tree-Extra Tree-Logistic-Extra Trees-Gradient Boosting,5,Australian,0.14202898550724638,17.8995
Decision Tree-Extra Tree-Logistic-Extra Trees-Random Forest (10 estimators),5,Australian,0.14202898550724638,16.394399999999997
Decision Tree-Extra Tree-Logistic-Gradient Boosting,4,Australian,0.15217391304347827,2.7939
Decision Tree-Extra Tree-Logistic-Linear Discriminant,4,Australian,0.1492753623188406,2.3993
Decision Tree-Extra Tree-Logistic-Linear Discriminant-BernoulliNB,5,Australian,0.13768115942028986,2.4999000000000002
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Extra Trees,5,Australian,0.13913043478260867,16.299699999999998
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Gradient Boosting,5,Australian,0.1463768115942029,3.7002999999999995
Decision Tree-Extra Tree-Logistic-Linear Discriminant-MultinomialNB,5,Australian,0.15217391304347827,3.0010000000000003
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Nearest Neighbors,5,Australian,0.1463768115942029,7.199599999999999
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Quadratic Discriminant,5,Australian,0.1492753623188406,2.7998000000000003
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Random Forest (10 estimators),5,Australian,0.14492753623188404,4.4998
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron,4,Australian,0.15217391304347827,2.5949
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-BernoulliNB,5,Australian,0.1492753623188406,2.5944000000000003
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Extra Trees,5,Australian,0.15362318840579708,16.1004
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Gradient Boosting,5,Australian,0.15217391304347827,2.8005000000000004
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Linear Discriminant,5,Australian,0.15072463768115943,3.1995999999999998
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-MultinomialNB,5,Australian,0.1579710144927536,2.7001
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Nearest Neighbors,5,Australian,0.15362318840579714,6.2993999999999994
