ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,jannis,0.35363999999999995,96.4005
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees,4,jannis,0.3458,187.45840000000004
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,jannis,0.31908,209.644
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,jannis,0.32667999999999997,199.64499999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Gradient Boosting,4,jannis,0.3436,99.011
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant,4,jannis,0.36364,88.452
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,jannis,0.35860000000000003,86.61959999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,jannis,0.33396000000000003,202.07489999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,jannis,0.33240000000000003,114.00649999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,jannis,0.36132,1364.3229
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,jannis,0.354,99.51610000000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,jannis,0.34036000000000005,95.0953
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors,4,jannis,0.39812000000000003,1353.5764
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,jannis,0.34487999999999996,1477.0128
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,jannis,0.3444,1446.5741
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,jannis,0.35604,1435.8067
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant,4,jannis,0.38371999999999995,94.90110000000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,jannis,0.37351999999999996,103.12219999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,jannis,0.33968,198.0322
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,jannis,0.3386,111.3199
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,jannis,0.37716,1411.1002
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,jannis,0.34747999999999996,101.1538
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators),4,jannis,0.35816,93.2741
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,jannis,0.32464,122.2163
Decision Tree-Extra Tree-Nearest Neighbors,3,jannis,0.41972,1487.9587999999999
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees,4,jannis,0.3738,1480.4941000000001
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees-Gradient Boosting,5,jannis,0.32984,1575.5702999999999
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,jannis,0.34192,1632.6777000000002
Decision Tree-Extra Tree-Nearest Neighbors-Gradient Boosting,4,jannis,0.3702,1464.2576000000001
Decision Tree-Extra Tree-Nearest Neighbors-Random Forest (10 estimators),4,jannis,0.38824000000000003,1449.6991999999998
Decision Tree-Extra Tree-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,jannis,0.33848,1526.4549
Decision Tree-Extra Tree-Passive Aggressive,3,jannis,0.41459999999999997,88.0986
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB,4,jannis,0.41604,75.8846
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Extra Trees,5,jannis,0.35736,192.1695
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Gradient Boosting,5,jannis,0.35392000000000007,110.50139999999999
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors,5,jannis,0.4021199999999999,1402.0874999999999
Decision Tree-Extra Tree-Passive Aggressive-BernoulliNB-Random Forest (10 estimators),5,jannis,0.3665999999999999,97.65780000000001
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees,4,jannis,0.36588000000000004,187.5202
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees-Gradient Boosting,5,jannis,0.32608000000000004,202.50860000000003
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees-Random Forest (10 estimators),5,jannis,0.33536,193.6594
Decision Tree-Extra Tree-Passive Aggressive-Gradient Boosting,4,jannis,0.36160000000000003,103.6039
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant,4,jannis,0.38624,87.3004
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-BernoulliNB,5,jannis,0.3748,78.71419999999999
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Extra Trees,5,jannis,0.34276000000000006,180.242
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Gradient Boosting,5,jannis,0.34204,106.9627
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors,5,jannis,0.37732,1345.3343
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant,5,jannis,0.3686,87.5812
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Random Forest (10 estimators),5,jannis,0.35067999999999994,89.5519
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron,4,jannis,0.39071999999999996,91.554
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB,5,jannis,0.3778,85.3961
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Extra Trees,5,jannis,0.3432,182.0777
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Gradient Boosting,5,jannis,0.34056,101.7232
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant,5,jannis,0.35995999999999995,83.87339999999999
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors,5,jannis,0.38124,1347.3129
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant,5,jannis,0.37296,99.40029999999999
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Random Forest (10 estimators),5,jannis,0.35131999999999997,92.84110000000001
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors,4,jannis,0.4249199999999999,1340.7307
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors-Extra Trees,5,jannis,0.3604400000000001,1444.8952999999997
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors-Gradient Boosting,5,jannis,0.35756000000000004,1424.8249
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors-Random Forest (10 estimators),5,jannis,0.37051999999999996,1386.5549999999998
Decision Tree-Extra Tree-Passive Aggressive-Perceptron,4,jannis,0.41636000000000006,81.78569999999999
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-BernoulliNB,5,jannis,0.3998,78.9004
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Extra Trees,5,jannis,0.36151999999999995,183.2617
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Gradient Boosting,5,jannis,0.35872,103.07180000000001
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Linear Discriminant,5,jannis,0.37896,80.20219999999999
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron,5,jannis,0.38204000000000005,81.80770000000001
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Nearest Neighbors,5,jannis,0.4023200000000001,1334.0430000000001
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Quadratic Discriminant,5,jannis,0.39424000000000003,89.49719999999999
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Random Forest (10 estimators),5,jannis,0.36951999999999996,96.19989999999999
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Ridge,5,jannis,0.3828,85.39930000000001
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-SGD,5,jannis,0.3954,82.0977
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant,4,jannis,0.4086,89.99759999999999
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB,5,jannis,0.39356,96.26060000000001
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant-Extra Trees,5,jannis,0.35479999999999995,210.47200000000004
