ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Logistic,3,credit-g,0.277,3.5017000000000005
Decision Tree-Extra Tree-Logistic-BernoulliNB,4,credit-g,0.285,4.008
Decision Tree-Extra Tree-Logistic-BernoulliNB-Extra Trees,5,credit-g,0.24299999999999997,19.0466
Decision Tree-Extra Tree-Logistic-BernoulliNB-Gradient Boosting,5,credit-g,0.246,4.2999
Decision Tree-Extra Tree-Logistic-BernoulliNB-MultinomialNB,5,credit-g,0.25599999999999995,4.7011
Decision Tree-Extra Tree-Logistic-BernoulliNB-Nearest Neighbors,5,credit-g,0.246,10.3072
Decision Tree-Extra Tree-Logistic-BernoulliNB-Random Forest (10 estimators),5,credit-g,0.24900000000000003,6.0018
Decision Tree-Extra Tree-Logistic-Extra Trees,4,credit-g,0.2720000000000001,17.692100000000003
Decision Tree-Extra Tree-Logistic-Extra Trees-Gradient Boosting,5,credit-g,0.23499999999999996,20.0871
Decision Tree-Extra Tree-Logistic-Extra Trees-Random Forest (10 estimators),5,credit-g,0.24100000000000002,19.958800000000004
Decision Tree-Extra Tree-Logistic-Gradient Boosting,4,credit-g,0.271,4.464700000000001
Decision Tree-Extra Tree-Logistic-Linear Discriminant,4,credit-g,0.277,4.4243
Decision Tree-Extra Tree-Logistic-Linear Discriminant-BernoulliNB,5,credit-g,0.24899999999999997,3.6999000000000004
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Extra Trees,5,credit-g,0.23700000000000002,17.898400000000002
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Gradient Boosting,5,credit-g,0.23399999999999999,4.8948
Decision Tree-Extra Tree-Logistic-Linear Discriminant-MultinomialNB,5,credit-g,0.261,3.8079
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Nearest Neighbors,5,credit-g,0.24400000000000005,10.408799999999998
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Quadratic Discriminant,5,credit-g,0.244,4.0952
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Random Forest (10 estimators),5,credit-g,0.246,5.9071
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron,4,credit-g,0.31399999999999995,4.3037
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-BernoulliNB,5,credit-g,0.259,4.102600000000001
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Extra Trees,5,credit-g,0.24499999999999997,18.294599999999996
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Gradient Boosting,5,credit-g,0.251,4.7979
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Linear Discriminant,5,credit-g,0.254,4.3965
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-MultinomialNB,5,credit-g,0.28300000000000003,4.298900000000001
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Nearest Neighbors,5,credit-g,0.268,9.2044
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Quadratic Discriminant,5,credit-g,0.26,3.9074
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Random Forest (10 estimators),5,credit-g,0.25000000000000006,5.1989
Decision Tree-Extra Tree-Logistic-MultinomialNB,4,credit-g,0.308,3.8913
Decision Tree-Extra Tree-Logistic-MultinomialNB-Extra Trees,5,credit-g,0.258,17.844299999999997
Decision Tree-Extra Tree-Logistic-MultinomialNB-Gradient Boosting,5,credit-g,0.259,4.300199999999999
Decision Tree-Extra Tree-Logistic-MultinomialNB-Nearest Neighbors,5,credit-g,0.279,9.7066
Decision Tree-Extra Tree-Logistic-MultinomialNB-Random Forest (10 estimators),5,credit-g,0.256,5.1023000000000005
Decision Tree-Extra Tree-Logistic-Nearest Neighbors,4,credit-g,0.29400000000000004,9.706199999999999
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Extra Trees,5,credit-g,0.24300000000000002,22.199099999999998
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Gradient Boosting,5,credit-g,0.24699999999999997,9.975999999999999
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Random Forest (10 estimators),5,credit-g,0.24300000000000005,12.0002
Decision Tree-Extra Tree-Logistic-Passive Aggressive,4,credit-g,0.30300000000000005,3.4973
Decision Tree-Extra Tree-Logistic-Passive Aggressive-BernoulliNB,5,credit-g,0.253,4.0738
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Extra Trees,5,credit-g,0.25,18.816899999999997
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Gradient Boosting,5,credit-g,0.24900000000000003,4.5031
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Linear Discriminant,5,credit-g,0.252,3.4047000000000005
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Multi-layer Perceptron,5,credit-g,0.273,4.1014
Decision Tree-Extra Tree-Logistic-Passive Aggressive-MultinomialNB,5,credit-g,0.29100000000000004,3.2043999999999997
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Nearest Neighbors,5,credit-g,0.27599999999999997,8.5959
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Perceptron,5,credit-g,0.27,3.9017000000000004
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Quadratic Discriminant,5,credit-g,0.27,3.9344
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Random Forest (10 estimators),5,credit-g,0.256,5.6841
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Ridge,5,credit-g,0.252,3.9076
Decision Tree-Extra Tree-Logistic-Passive Aggressive-SGD,5,credit-g,0.29900000000000004,3.5187
Decision Tree-Extra Tree-Logistic-Perceptron,4,credit-g,0.308,3.7521
Decision Tree-Extra Tree-Logistic-Perceptron-BernoulliNB,5,credit-g,0.263,5.0068
