ensembleDescription,k,dataset,errorRate
Decission Tree-Passive Aggressive-Ridge-SGD-MultinomialNB,5,Digits,0.06012725015518311
Decission Tree-Passive Aggressive-Ridge-SGD-Nearest Neighbors,5,Digits,0.04787709497206703
Decission Tree-Passive Aggressive-Ridge-SGD-Extra Trees,5,Digits,0.050654872749844815
Decission Tree-Passive Aggressive-Ridge-SGD-Random Forest (10 estimators),5,Digits,0.057337057728119166
Decission Tree-Passive Aggressive-Ridge-SGD-Gradient Boosting,5,Digits,0.05233395406579764
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Linear Discriminant,5,Digits,0.0534326505276226
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Quadratic Discriminant,5,Digits,0.046759776536312844
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-BernoulliNB,5,Digits,0.052321539416511485
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-MultinomialNB,5,Digits,0.050654872749844815
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Nearest Neighbors,5,Digits,0.03729360645561763
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Extra Trees,5,Digits,0.03951582867783985
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Random Forest (10 estimators),5,Digits,0.04341713221601489
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Gradient Boosting,5,Digits,0.04230912476722532
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Quadratic Discriminant,5,Digits,0.060117939168218504
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-BernoulliNB,5,Digits,0.07569522036002482
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-MultinomialNB,5,Digits,0.06957790192427063
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Nearest Neighbors,5,Digits,0.05009931719428926
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Extra Trees,5,Digits,0.05398820608317815
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.060114835505896955
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Gradient Boosting,5,Digits,0.0590006207324643
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-BernoulliNB,5,Digits,0.06456548727498448
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-MultinomialNB,5,Digits,0.0623463687150838
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.043969584109248915
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-Extra Trees,5,Digits,0.04730912476722532
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.05566418373680944
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-Gradient Boosting,5,Digits,0.04954376163873371
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-MultinomialNB,5,Digits,0.0768032278088144
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-Nearest Neighbors,5,Digits,0.05009931719428926
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-Extra Trees,5,Digits,0.05176908752327747
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-Random Forest (10 estimators),5,Digits,0.06401613904407201
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-Gradient Boosting,5,Digits,0.05845747982619491
Decission Tree-Passive Aggressive-Ridge-MultinomialNB-Nearest Neighbors,5,Digits,0.04954376163873371
Decission Tree-Passive Aggressive-Ridge-MultinomialNB-Extra Trees,5,Digits,0.04898510242085661
Decission Tree-Passive Aggressive-Ridge-MultinomialNB-Random Forest (10 estimators),5,Digits,0.05956238361266294
Decission Tree-Passive Aggressive-Ridge-MultinomialNB-Gradient Boosting,5,Digits,0.05400062073246431
Decission Tree-Passive Aggressive-Ridge-Nearest Neighbors-Extra Trees,5,Digits,0.0378429546865301
Decission Tree-Passive Aggressive-Ridge-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.04230602110490379
Decission Tree-Passive Aggressive-Ridge-Nearest Neighbors-Gradient Boosting,5,Digits,0.040639354438237116
Decission Tree-Passive Aggressive-Ridge-Extra Trees-Random Forest (10 estimators),5,Digits,0.046753569211669774
Decission Tree-Passive Aggressive-Ridge-Extra Trees-Gradient Boosting,5,Digits,0.04397268777157044
Decission Tree-Passive Aggressive-Ridge-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05067039106145251
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Linear Discriminant,5,Digits,0.05622594661700807
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Quadratic Discriminant,5,Digits,0.046753569211669774
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-BernoulliNB,5,Digits,0.055667287399130974
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-MultinomialNB,5,Digits,0.05344196151458722
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Nearest Neighbors,5,Digits,0.04397268777157044
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Extra Trees,5,Digits,0.04508379888268156
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Random Forest (10 estimators),5,Digits,0.049540657976412154
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Gradient Boosting,5,Digits,0.045642458100558655
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Quadratic Discriminant,5,Digits,0.05788640595903166
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-BernoulliNB,5,Digits,0.06568280571073867
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-MultinomialNB,5,Digits,0.06401924270639354
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Nearest Neighbors,5,Digits,0.05233085040347609
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Extra Trees,5,Digits,0.0540006207324643
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.06012104283054004
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Gradient Boosting,5,Digits,0.055670391061452516
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-BernoulliNB,5,Digits,0.06402234636871508
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-MultinomialNB,5,Digits,0.059565487274984466
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.04174425822470515
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-Extra Trees,5,Digits,0.04619490999379267
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.05621973929236499
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-Gradient Boosting,5,Digits,0.04675667287399131
Decission Tree-Passive Aggressive-SGD-BernoulliNB-MultinomialNB,5,Digits,0.07347920546244567
Decission Tree-Passive Aggressive-SGD-BernoulliNB-Nearest Neighbors,5,Digits,0.04955927995034141
Decission Tree-Passive Aggressive-SGD-BernoulliNB-Extra Trees,5,Digits,0.05288950962135319
Decission Tree-Passive Aggressive-SGD-BernoulliNB-Random Forest (10 estimators),5,Digits,0.061790813159528245
Decission Tree-Passive Aggressive-SGD-BernoulliNB-Gradient Boosting,5,Digits,0.0556765983860956
Decission Tree-Passive Aggressive-SGD-MultinomialNB-Nearest Neighbors,5,Digits,0.04788330229671011
Decission Tree-Passive Aggressive-SGD-MultinomialNB-Extra Trees,5,Digits,0.0506610800744879
Decission Tree-Passive Aggressive-SGD-MultinomialNB-Random Forest (10 estimators),5,Digits,0.059009931719428935
Decission Tree-Passive Aggressive-SGD-MultinomialNB-Gradient Boosting,5,Digits,0.05456238361266293
Decission Tree-Passive Aggressive-SGD-Nearest Neighbors-Extra Trees,5,Digits,0.040630043451272496
Decission Tree-Passive Aggressive-SGD-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.046204220980757285
Decission Tree-Passive Aggressive-SGD-Nearest Neighbors-Gradient Boosting,5,Digits,0.04341713221601489
Decission Tree-Passive Aggressive-SGD-Extra Trees-Random Forest (10 estimators),5,Digits,0.04731843575418994
Decission Tree-Passive Aggressive-SGD-Extra Trees-Gradient Boosting,5,Digits,0.04675356921166977
Decission Tree-Passive Aggressive-SGD-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05121973929236499
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,Digits,0.044531346989447544
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,Digits,0.054549968963376785
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,Digits,0.053438857852265674
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,Digits,0.037290502793296085
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,Digits,0.03951582867783985
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.045086902545003096
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,Digits,0.0422998137802607
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,Digits,0.05342954686530105
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB,5,Digits,0.050648665425201744
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.03338299193047796
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,Digits,0.038395406579764126
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.042849162011173184
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,Digits,0.03839851024208566
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-MultinomialNB,5,Digits,0.06178150217256363
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,Digits,0.040074487895716944
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,Digits,0.041738050900062065
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,Digits,0.05231843575418995
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,Digits,0.04787088764742396
Decission Tree-Passive Aggressive-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors,5,Digits,0.03951582867783985
Decission Tree-Passive Aggressive-Multi-layer Perceptron-MultinomialNB-Extra Trees,5,Digits,0.04118249534450651
Decission Tree-Passive Aggressive-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators),5,Digits,0.04731222842954686
Decission Tree-Passive Aggressive-Multi-layer Perceptron-MultinomialNB-Gradient Boosting,5,Digits,0.04564556176288019
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,Digits,0.033382991930477966
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.03283054003724395
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,Digits,0.034500310366232155
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,Digits,0.035611421477343266
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,Digits,0.0356145251396648
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.04174425822470515
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,Digits,0.06568590937306021
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,Digits,0.06068280571073866
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.03840471756672874
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,Digits,0.04341402855369335
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.053994413407821226
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,Digits,0.04787088764742396
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-MultinomialNB,5,Digits,0.08014276846679083
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,Digits,0.050102420856610805
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-Extra Trees,5,Digits,0.05399751707014276
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,Digits,0.06568901303538176
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-Gradient Boosting,5,Digits,0.060682805710738676
Decission Tree-Passive Aggressive-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,Digits,0.04676598386095593
Decission Tree-Passive Aggressive-Linear Discriminant-MultinomialNB-Extra Trees,5,Digits,0.05009931719428926
Decission Tree-Passive Aggressive-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,Digits,0.0584481688392303
Decission Tree-Passive Aggressive-Linear Discriminant-MultinomialNB-Gradient Boosting,5,Digits,0.05622594661700807
Decission Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors-Extra Trees,5,Digits,0.035617628801986344
Decission Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.042312228429546864
Decission Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,Digits,0.03951582867783985
Decission Tree-Passive Aggressive-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,Digits,0.04620111731843575
Decission Tree-Passive Aggressive-Linear Discriminant-Extra Trees-Gradient Boosting,5,Digits,0.04174115456238361
Decission Tree-Passive Aggressive-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05177529484792055
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-MultinomialNB,5,Digits,0.07513656114214773
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-Nearest Neighbors,5,Digits,0.04730291744258225
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-Extra Trees,5,Digits,0.05064866542520173
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-Random Forest (10 estimators),5,Digits,0.06402545003103663
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-Gradient Boosting,5,Digits,0.05678460583488516
Decission Tree-Passive Aggressive-Quadratic Discriminant-MultinomialNB-Nearest Neighbors,5,Digits,0.04507448789571694
Decission Tree-Passive Aggressive-Quadratic Discriminant-MultinomialNB-Extra Trees,5,Digits,0.04619180633147113
Decission Tree-Passive Aggressive-Quadratic Discriminant-MultinomialNB-Random Forest (10 estimators),5,Digits,0.05790192427063935
Decission Tree-Passive Aggressive-Quadratic Discriminant-MultinomialNB-Gradient Boosting,5,Digits,0.05177529484792055
Decission Tree-Passive Aggressive-Quadratic Discriminant-Nearest Neighbors-Extra Trees,5,Digits,0.0328274363749224
Decission Tree-Passive Aggressive-Quadratic Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.035611421477343266
Decission Tree-Passive Aggressive-Quadratic Discriminant-Nearest Neighbors-Gradient Boosting,5,Digits,0.034509621353196775
Decission Tree-Passive Aggressive-Quadratic Discriminant-Extra Trees-Random Forest (10 estimators),5,Digits,0.04118249534450652
Decission Tree-Passive Aggressive-Quadratic Discriminant-Extra Trees-Gradient Boosting,5,Digits,0.037290502793296085
Decission Tree-Passive Aggressive-Quadratic Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05121973929236499
Decission Tree-Passive Aggressive-BernoulliNB-MultinomialNB-Nearest Neighbors,5,Digits,0.05733395406579763
Decission Tree-Passive Aggressive-BernoulliNB-MultinomialNB-Extra Trees,5,Digits,0.06122594661700805
Decission Tree-Passive Aggressive-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,Digits,0.06846679081315953
Decission Tree-Passive Aggressive-BernoulliNB-MultinomialNB-Gradient Boosting,5,Digits,0.06791744258224705
Decission Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors-Extra Trees,5,Digits,0.03450651769087523
Decission Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.046762880198634386
Decission Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,Digits,0.04064245810055866
Decission Tree-Passive Aggressive-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,Digits,0.05065176908752328
Decission Tree-Passive Aggressive-BernoulliNB-Extra Trees-Gradient Boosting,5,Digits,0.04620111731843575
Decission Tree-Passive Aggressive-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05957169459962756
Decission Tree-Passive Aggressive-MultinomialNB-Nearest Neighbors-Extra Trees,5,Digits,0.03395096213531968
Decission Tree-Passive Aggressive-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.04342023587833643
Decission Tree-Passive Aggressive-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,Digits,0.03952824332712601
Decission Tree-Passive Aggressive-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,Digits,0.04731222842954686
Decission Tree-Passive Aggressive-MultinomialNB-Extra Trees-Gradient Boosting,5,Digits,0.0434171322160149
Decission Tree-Passive Aggressive-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.055685909373060206
Decission Tree-Passive Aggressive-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,Digits,0.030599006828057107
Decission Tree-Passive Aggressive-Nearest Neighbors-Extra Trees-Gradient Boosting,5,Digits,0.03283364369956549
Decission Tree-Passive Aggressive-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.03562383612662942
Decission Tree-Passive Aggressive-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.039518932340161385
Decission Tree-Perceptron-Ridge-SGD-Multi-layer Perceptron,5,Digits,0.049528243327126006
Decission Tree-Perceptron-Ridge-SGD-Linear Discriminant,5,Digits,0.0679050279329609
Decission Tree-Perceptron-Ridge-SGD-Quadratic Discriminant,5,Digits,0.059006828057107386
Decission Tree-Perceptron-Ridge-SGD-BernoulliNB,5,Digits,0.06846989447548106
Decission Tree-Perceptron-Ridge-SGD-MultinomialNB,5,Digits,0.06680633147113595
Decission Tree-Perceptron-Ridge-SGD-Nearest Neighbors,5,Digits,0.049534450651769084
Decission Tree-Perceptron-Ridge-SGD-Extra Trees,5,Digits,0.05064245810055865
Decission Tree-Perceptron-Ridge-SGD-Random Forest (10 estimators),5,Digits,0.05565797641216637
Decission Tree-Perceptron-Ridge-SGD-Gradient Boosting,5,Digits,0.05621973929236499
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant,5,Digits,0.0534326505276226
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Quadratic Discriminant,5,Digits,0.048978895096213525
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-BernoulliNB,5,Digits,0.05397889509621353
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-MultinomialNB,5,Digits,0.052321539416511485
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Nearest Neighbors,5,Digits,0.04172873991309745
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Extra Trees,5,Digits,0.04451272501551831
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Random Forest (10 estimators),5,Digits,0.04897268777157045
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Gradient Boosting,5,Digits,0.04897889509621353
Decission Tree-Perceptron-Ridge-Linear Discriminant-Quadratic Discriminant,5,Digits,0.05900682805710737
Decission Tree-Perceptron-Ridge-Linear Discriminant-BernoulliNB,5,Digits,0.07736188702669149
Decission Tree-Perceptron-Ridge-Linear Discriminant-MultinomialNB,5,Digits,0.07291744258224706
Decission Tree-Perceptron-Ridge-Linear Discriminant-Nearest Neighbors,5,Digits,0.05009310986964619
Decission Tree-Perceptron-Ridge-Linear Discriminant-Extra Trees,5,Digits,0.05342954686530106
Decission Tree-Perceptron-Ridge-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.06066728739913098
Decission Tree-Perceptron-Ridge-Linear Discriminant-Gradient Boosting,5,Digits,0.06011173184357542
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-BernoulliNB,5,Digits,0.06678770949720671
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-MultinomialNB,5,Digits,0.06568280571073867
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.045636250775915585
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-Extra Trees,5,Digits,0.047306021104903784
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.05566108007448789
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-Gradient Boosting,5,Digits,0.05120732464307883
Decission Tree-Perceptron-Ridge-BernoulliNB-MultinomialNB,5,Digits,0.08292054624456859
Decission Tree-Perceptron-Ridge-BernoulliNB-Nearest Neighbors,5,Digits,0.05065176908752328
Decission Tree-Perceptron-Ridge-BernoulliNB-Extra Trees,5,Digits,0.0528739913097455
Decission Tree-Perceptron-Ridge-BernoulliNB-Random Forest (10 estimators),5,Digits,0.06456859093730602
Decission Tree-Perceptron-Ridge-BernoulliNB-Gradient Boosting,5,Digits,0.060673494723774056
Decission Tree-Perceptron-Ridge-MultinomialNB-Nearest Neighbors,5,Digits,0.0506610800744879
Decission Tree-Perceptron-Ridge-MultinomialNB-Extra Trees,5,Digits,0.050654872749844815
Decission Tree-Perceptron-Ridge-MultinomialNB-Random Forest (10 estimators),5,Digits,0.06234016139044072
Decission Tree-Perceptron-Ridge-MultinomialNB-Gradient Boosting,5,Digits,0.05677839851024209
Decission Tree-Perceptron-Ridge-Nearest Neighbors-Extra Trees,5,Digits,0.04061762880198634
Decission Tree-Perceptron-Ridge-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.046750465549348225
Decission Tree-Perceptron-Ridge-Nearest Neighbors-Gradient Boosting,5,Digits,0.045080695220360026
Decission Tree-Perceptron-Ridge-Extra Trees-Random Forest (10 estimators),5,Digits,0.050648665425201744
Decission Tree-Perceptron-Ridge-Extra Trees-Gradient Boosting,5,Digits,0.047306021104903784
Decission Tree-Perceptron-Ridge-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.055111731843575415
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant,5,Digits,0.051201117318435754
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Quadratic Discriminant,5,Digits,0.046744258224705154
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-BernoulliNB,5,Digits,0.0545437616387337
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-MultinomialNB,5,Digits,0.053985102420856614
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Nearest Neighbors,5,Digits,0.045071384233395406
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Extra Trees,5,Digits,0.044515828677839854
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Random Forest (10 estimators),5,Digits,0.04841713221601489
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Gradient Boosting,5,Digits,0.047306021104903784
Decission Tree-Perceptron-SGD-Linear Discriminant-Quadratic Discriminant,5,Digits,0.059000620732464315
Decission Tree-Perceptron-SGD-Linear Discriminant-BernoulliNB,5,Digits,0.07068901303538175
Decission Tree-Perceptron-SGD-Linear Discriminant-MultinomialNB,5,Digits,0.06735567970204841
Decission Tree-Perceptron-SGD-Linear Discriminant-Nearest Neighbors,5,Digits,0.04897579143389199
Decission Tree-Perceptron-SGD-Linear Discriminant-Extra Trees,5,Digits,0.0500869025450031
Decission Tree-Perceptron-SGD-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.059000620732464315
Decission Tree-Perceptron-SGD-Linear Discriminant-Gradient Boosting,5,Digits,0.054549968963376785
Decission Tree-Perceptron-SGD-Quadratic Discriminant-BernoulliNB,5,Digits,0.06624146492861575
Decission Tree-Perceptron-SGD-Quadratic Discriminant-MultinomialNB,5,Digits,0.06457169459962755
Decission Tree-Perceptron-SGD-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.04284605834885165
Decission Tree-Perceptron-SGD-Quadratic Discriminant-Extra Trees,5,Digits,0.045074487895716935
Decission Tree-Perceptron-SGD-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.053994413407821226
Decission Tree-Perceptron-SGD-Quadratic Discriminant-Gradient Boosting,5,Digits,0.04953755431409063
Decission Tree-Perceptron-SGD-BernoulliNB-MultinomialNB,5,Digits,0.07904096834264432
Decission Tree-Perceptron-SGD-BernoulliNB-Nearest Neighbors,5,Digits,0.051213531967721916
Decission Tree-Perceptron-SGD-BernoulliNB-Extra Trees,5,Digits,0.054546865301055236
Decission Tree-Perceptron-SGD-BernoulliNB-Random Forest (10 estimators),5,Digits,0.06512725015518313
Decission Tree-Perceptron-SGD-BernoulliNB-Gradient Boosting,5,Digits,0.06067970204841714
Decission Tree-Perceptron-SGD-MultinomialNB-Nearest Neighbors,5,Digits,0.050102420856610805
Decission Tree-Perceptron-SGD-MultinomialNB-Extra Trees,5,Digits,0.0534326505276226
Decission Tree-Perceptron-SGD-MultinomialNB-Random Forest (10 estimators),5,Digits,0.06234326505276226
Decission Tree-Perceptron-SGD-MultinomialNB-Gradient Boosting,5,Digits,0.058454376163873376
Decission Tree-Perceptron-SGD-Nearest Neighbors-Extra Trees,5,Digits,0.04062383612662941
Decission Tree-Perceptron-SGD-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.045086902545003096
Decission Tree-Perceptron-SGD-Nearest Neighbors-Gradient Boosting,5,Digits,0.045636250775915585
Decission Tree-Perceptron-SGD-Extra Trees-Random Forest (10 estimators),5,Digits,0.048423339540657966
Decission Tree-Perceptron-SGD-Extra Trees-Gradient Boosting,5,Digits,0.04674736188702669
Decission Tree-Perceptron-SGD-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05233085040347611
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,Digits,0.04619801365611421
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,Digits,0.0545437616387337
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,Digits,0.05343575418994414
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,Digits,0.03950031036623215
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,Digits,0.041176288019863436
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.04730291744258224
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,Digits,0.04452203600248293
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,Digits,0.05342333954065796
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB,5,Digits,0.05287088764742396
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.03449099937926753
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,Digits,0.0367163252638113
