ensembleDescription,k,dataset,errorRate
BernoulliNB-MultinomialNB,2,Breast Cancer,0.23938177613493697
BernoulliNB-Nearest Neighbors,2,Breast Cancer,0.14717951769554244
BernoulliNB-Extra Trees,2,Breast Cancer,0.11189434246696817
BernoulliNB-Random Forest (10 estimators),2,Breast Cancer,0.15562409282050566
BernoulliNB-Gradient Boosting,2,Breast Cancer,0.13072004965859713
MultinomialNB-Nearest Neighbors,2,Breast Cancer,0.13190293004391795
MultinomialNB-Extra Trees,2,Breast Cancer,0.10077290526129104
MultinomialNB-Random Forest (10 estimators),2,Breast Cancer,0.14766365401399212
MultinomialNB-Gradient Boosting,2,Breast Cancer,0.11848439767948737
Nearest Neighbors-Extra Trees,2,Breast Cancer,0.06875899011961936
Nearest Neighbors-Random Forest (10 estimators),2,Breast Cancer,0.10667623434750748
Nearest Neighbors-Gradient Boosting,2,Breast Cancer,0.07823447118727918
Extra Trees-Random Forest (10 estimators),2,Breast Cancer,0.1052768443455006
Extra Trees-Gradient Boosting,2,Breast Cancer,0.07503361522988101
Random Forest (10 estimators)-Gradient Boosting,2,Breast Cancer,0.11283801916336463
Linear SVC-Decission Tree-Extra Tree,3,Breast Cancer,0.1587242897747161
Linear SVC-Decission Tree-Logistic,3,Breast Cancer,0.1302910558519203
Linear SVC-Decission Tree-Passive Aggressive,3,Breast Cancer,0.12796249235752322
Linear SVC-Decission Tree-Perceptron,3,Breast Cancer,0.15859723797389186
Linear SVC-Decission Tree-Ridge,3,Breast Cancer,0.12432512846361717
Linear SVC-Decission Tree-SGD,3,Breast Cancer,0.14162445219193237
Linear SVC-Decission Tree-Multi-layer Perceptron,3,Breast Cancer,0.1177391920210209
Linear SVC-Decission Tree-Linear Discriminant,3,Breast Cancer,0.11388963563471059
Linear SVC-Decission Tree-Quadratic Discriminant,3,Breast Cancer,0.12561579694114242
Linear SVC-Decission Tree-BernoulliNB,3,Breast Cancer,0.1719616079304406
Linear SVC-Decission Tree-MultinomialNB,3,Breast Cancer,0.1566578107279372
Linear SVC-Decission Tree-Nearest Neighbors,3,Breast Cancer,0.1139131931318053
Linear SVC-Decission Tree-Extra Trees,3,Breast Cancer,0.09611859023723182
Linear SVC-Decission Tree-Random Forest (10 estimators),3,Breast Cancer,0.12023257631975655
Linear SVC-Decission Tree-Gradient Boosting,3,Breast Cancer,0.10496941842501975
Linear SVC-Extra Tree-Logistic,3,Breast Cancer,0.14249024563270374
Linear SVC-Extra Tree-Passive Aggressive,3,Breast Cancer,0.14166532485776823
Linear SVC-Extra Tree-Perceptron,3,Breast Cancer,0.16834237595851825
Linear SVC-Extra Tree-Ridge,3,Breast Cancer,0.13618585570070427
Linear SVC-Extra Tree-SGD,3,Breast Cancer,0.1472677270457335
Linear SVC-Extra Tree-Multi-layer Perceptron,3,Breast Cancer,0.12509598017389845
Linear SVC-Extra Tree-Linear Discriminant,3,Breast Cancer,0.12064402159962291
Linear SVC-Extra Tree-Quadratic Discriminant,3,Breast Cancer,0.13252360416870856
Linear SVC-Extra Tree-BernoulliNB,3,Breast Cancer,0.18220614385124823
Linear SVC-Extra Tree-MultinomialNB,3,Breast Cancer,0.16646894237455837
Linear SVC-Extra Tree-Nearest Neighbors,3,Breast Cancer,0.11319461362904468
Linear SVC-Extra Tree-Extra Trees,3,Breast Cancer,0.10127511516220722
Linear SVC-Extra Tree-Random Forest (10 estimators),3,Breast Cancer,0.12707468158291443
Linear SVC-Extra Tree-Gradient Boosting,3,Breast Cancer,0.11233575092293117
Linear SVC-Logistic-Passive Aggressive,3,Breast Cancer,0.1263113440024643
Linear SVC-Logistic-Perceptron,3,Breast Cancer,0.1479195311369672
Linear SVC-Logistic-Ridge,3,Breast Cancer,0.1304854081199274
Linear SVC-Logistic-SGD,3,Breast Cancer,0.13675304415601386
Linear SVC-Logistic-Multi-layer Perceptron,3,Breast Cancer,0.12228997773764021
Linear SVC-Logistic-Linear Discriminant,3,Breast Cancer,0.1268889168918572
Linear SVC-Logistic-Quadratic Discriminant,3,Breast Cancer,0.1260285490261968
Linear SVC-Logistic-BernoulliNB,3,Breast Cancer,0.15633748010622459
Linear SVC-Logistic-MultinomialNB,3,Breast Cancer,0.1506942052524234
Linear SVC-Logistic-Nearest Neighbors,3,Breast Cancer,0.12199787177440809
Linear SVC-Logistic-Extra Trees,3,Breast Cancer,0.11417402911375274
Linear SVC-Logistic-Random Forest (10 estimators),3,Breast Cancer,0.12611316466212083
Linear SVC-Logistic-Gradient Boosting,3,Breast Cancer,0.11692978955769313
Linear SVC-Passive Aggressive-Perceptron,3,Breast Cancer,0.15857211697773302
Linear SVC-Passive Aggressive-Ridge,3,Breast Cancer,0.12788098038392068
Linear SVC-Passive Aggressive-SGD,3,Breast Cancer,0.15017308167999138
Linear SVC-Passive Aggressive-Multi-layer Perceptron,3,Breast Cancer,0.12270452667982805
Linear SVC-Passive Aggressive-Linear Discriminant,3,Breast Cancer,0.1248431483737276
Linear SVC-Passive Aggressive-Quadratic Discriminant,3,Breast Cancer,0.1250154833078973
Linear SVC-Passive Aggressive-BernoulliNB,3,Breast Cancer,0.16718752187731897
Linear SVC-Passive Aggressive-MultinomialNB,3,Breast Cancer,0.15922499451608535
Linear SVC-Passive Aggressive-Nearest Neighbors,3,Breast Cancer,0.1233948815241082
Linear SVC-Passive Aggressive-Extra Trees,3,Breast Cancer,0.10991534936036554
Linear SVC-Passive Aggressive-Random Forest (10 estimators),3,Breast Cancer,0.1217698692728096
Linear SVC-Passive Aggressive-Gradient Boosting,3,Breast Cancer,0.1143691047917746
Linear SVC-Perceptron-Ridge,3,Breast Cancer,0.1448661808151664
Linear SVC-Perceptron-SGD,3,Breast Cancer,0.17324427222618935
Linear SVC-Perceptron-Multi-layer Perceptron,3,Breast Cancer,0.14198081329954307
Linear SVC-Perceptron-Linear Discriminant,3,Breast Cancer,0.1424716236587745
Linear SVC-Perceptron-Quadratic Discriminant,3,Breast Cancer,0.1455032483443245
Linear SVC-Perceptron-BernoulliNB,3,Breast Cancer,0.1815807092218442
Linear SVC-Perceptron-MultinomialNB,3,Breast Cancer,0.1731878812487457
Linear SVC-Perceptron-Nearest Neighbors,3,Breast Cancer,0.14435358648016688
Linear SVC-Perceptron-Extra Trees,3,Breast Cancer,0.13438282624624875
Linear SVC-Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.147907116487681
Linear SVC-Perceptron-Gradient Boosting,3,Breast Cancer,0.13533091341015482
Linear SVC-Ridge-SGD,3,Breast Cancer,0.139396022645067
Linear SVC-Ridge-Multi-layer Perceptron,3,Breast Cancer,0.115818678446582
Linear SVC-Ridge-Linear Discriminant,3,Breast Cancer,0.1270558262509159
Linear SVC-Ridge-Quadratic Discriminant,3,Breast Cancer,0.11079152723522026
Linear SVC-Ridge-BernoulliNB,3,Breast Cancer,0.1604716866654532
Linear SVC-Ridge-MultinomialNB,3,Breast Cancer,0.14580495699210785
Linear SVC-Ridge-Nearest Neighbors,3,Breast Cancer,0.11275500203021523
Linear SVC-Ridge-Extra Trees,3,Breast Cancer,0.10038658097758361
Linear SVC-Ridge-Random Forest (10 estimators),3,Breast Cancer,0.11772135179662377
Linear SVC-Ridge-Gradient Boosting,3,Breast Cancer,0.10687441368785092
Linear SVC-SGD-Multi-layer Perceptron,3,Breast Cancer,0.13657659045192125
Linear SVC-SGD-Linear Discriminant,3,Breast Cancer,0.13374964412894433
Linear SVC-SGD-Quadratic Discriminant,3,Breast Cancer,0.127984217993774
Linear SVC-SGD-BernoulliNB,3,Breast Cancer,0.1858546739287698
Linear SVC-SGD-MultinomialNB,3,Breast Cancer,0.1645191890340376
Linear SVC-SGD-Nearest Neighbors,3,Breast Cancer,0.13566937595385112
Linear SVC-SGD-Extra Trees,3,Breast Cancer,0.11923973107816097
Linear SVC-SGD-Random Forest (10 estimators),3,Breast Cancer,0.12574647745994408
Linear SVC-SGD-Gradient Boosting,3,Breast Cancer,0.11954764705058737
Linear SVC-Multi-layer Perceptron-Linear Discriminant,3,Breast Cancer,0.11389816487214313
Linear SVC-Multi-layer Perceptron-Quadratic Discriminant,3,Breast Cancer,0.10737900384107384
Linear SVC-Multi-layer Perceptron-BernoulliNB,3,Breast Cancer,0.1372827553053957
Linear SVC-Multi-layer Perceptron-MultinomialNB,3,Breast Cancer,0.13222636432795207
